dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,DeepAR-lo-80,42,2,1.15396346558455,1.89755533600146,34.629275909090545,0.04864
M5,DeepAR-hi-80,42,2,1.5275385550329728,2.2687216557694527,34.629275909090545,0.04864
M5,DeepAR-hi-90,42,2,1.8843300437474888,2.808229410464286,34.629275909090545,0.04864
M5,DLinear,42,2,0.8464787303064284,1.2097196708817506,34.629275909090545,0.04864
M5,TimesNet,42,2,0.8378393689237004,1.053875110407884,34.629275909090545,0.04864
M5,LightGBM,123,2,1.1420058887667948,2.217133868253118,0.7243772909860127,0.04864
M5,PatchTST,123,2,0.8232890708910938,1.0012381131409516,36.57353046590949,0.065536
M5,NBEATS,123,2,0.8202450855324943,1.005430768526602,36.57353046590949,0.065536
M5,TiDE,123,2,0.8462750603790795,1.2087964172500092,36.57353046590949,0.065536
M5,DeepAR,123,2,0.9087316904346724,1.1671550097134704,36.57353046590949,0.065536
M5,DeepAR-median,123,2,0.9115944731473324,1.1874838265920782,36.57353046590949,0.065536
M5,DeepAR-lo-90,123,2,1.514747119549928,2.504108918219151,36.57353046590949,0.065536
M5,DeepAR-lo-80,123,2,1.1457176323409657,1.8683870314926514,36.57353046590949,0.065536
M5,DeepAR-hi-80,123,2,1.4416375188941937,2.1412310615438934,36.57353046590949,0.065536
M5,DeepAR-hi-90,123,2,1.7633752025876726,2.637055016292584,36.57353046590949,0.065536
M5,DLinear,123,2,0.8457196228053155,1.206892328924174,36.57353046590949,0.065536
M5,TimesNet,123,2,0.8376802059050533,1.0376051617750761,36.57353046590949,0.065536
M5,LightGBM,456,2,1.1420058887667948,2.217133868253118,0.8083054579910822,0.065536
M5,PatchTST,456,2,0.8275011178114905,0.9969330347681225,36.954558655270375,0.082432
M5,NBEATS,456,2,0.8172997184237932,0.9967327143581488,36.954558655270375,0.082432
M5,TiDE,456,2,0.8458015155496209,1.208810649145412,36.954558655270375,0.082432
M5,DeepAR,456,2,0.9176848317150558,1.1884595211280946,36.954558655270375,0.082432
M5,DeepAR-median,456,2,0.9202023138199001,1.2015340897686544,36.954558655270375,0.082432
M5,DeepAR-lo-90,456,2,1.4406421144257597,2.420146900614274,36.954558655270375,0.082432
M5,DeepAR-lo-80,456,2,1.0991066761279114,1.8103464624029568,36.954558655270375,0.082432
M5,DeepAR-hi-80,456,2,1.4465870498333657,2.156156753627491,36.954558655270375,0.082432
M5,DeepAR-hi-90,456,2,1.763144684343466,2.672942599762236,36.954558655270375,0.082432
M5,DLinear,456,2,0.8463563053639206,1.2083233606890516,36.954558655270375,0.082432
M5,TimesNet,456,2,0.8409845494313256,1.0441721921415337,36.954558655270375,0.082432
